seed,model,val,train,test,RMSE
0,GradientBoostingRegressor,0.5606684417792804,0.7277558805265733,0.5214699332120653,0.1141959425596615
1,GradientBoostingRegressor,0.5385100817434502,0.723521387704257,0.5789404630228376,0.11073517225238062
2,GradientBoostingRegressor,0.5678859466453692,0.7336766051716179,0.5234609998403383,0.1062989563242509
3,GradientBoostingRegressor,0.5523316994498693,0.7248581946815728,0.5771565123830016,0.10567591761398613
4,GradientBoostingRegressor,0.5586399221295806,0.7325485668341936,0.5160518523750772,0.10729303978360902
5,GradientBoostingRegressor,0.5177876130881373,0.7266275211151602,0.5491881635819993,0.10957280141552651
6,GradientBoostingRegressor,0.5277509093839332,0.7274833638416519,0.5742790621673772,0.11015952604029365
7,GradientBoostingRegressor,0.5604148181536108,0.7296218705088082,0.5168157741514962,0.11006190722752635
8,GradientBoostingRegressor,0.5346125319939575,0.7255373373073377,0.6207308237753387,0.10999452363091534
9,GradientBoostingRegressor,0.5270284773328741,0.7154856920438795,0.625018127646903,0.10712634100555093
10,GradientBoostingRegressor,0.558499938050821,0.7345432399735045,0.5432505253529861,0.11371035888599987
11,GradientBoostingRegressor,0.5448216112495217,0.7212623217220756,0.6080698969098433,0.1009096023464987
12,GradientBoostingRegressor,0.5643199015882278,0.7306758089124431,0.5043448289776983,0.1131620488500644
13,GradientBoostingRegressor,0.5466567923291594,0.7286596656691595,0.5238563771825875,0.11875193496412027
14,GradientBoostingRegressor,0.5486356606284195,0.7331068386223173,0.5473771342810896,0.10723879630104254
15,GradientBoostingRegressor,0.5288962702126536,0.7244619336270608,0.566417226343755,0.10747537561040171
16,GradientBoostingRegressor,0.518809153331307,0.7144380818430636,0.5930823574426192,0.10324682761075477
17,GradientBoostingRegressor,0.5614344948258876,0.7299956985613246,0.5091341048435671,0.10735688349985836
18,GradientBoostingRegressor,0.5373868518399113,0.7276637336301631,0.5063801285379215,0.11404050239391592
19,GradientBoostingRegressor,0.5320542334667114,0.7225936855032516,0.6377178463853351,0.1026361194425675
20,GradientBoostingRegressor,0.5705413189967055,0.7399699129486483,0.5007528618558414,0.10950896760282951
21,GradientBoostingRegressor,0.5590366182065158,0.7245246036960082,0.6267428897361202,0.10755296336198839
22,GradientBoostingRegressor,0.5267401507947749,0.719615725307818,0.5833136296594259,0.10779443435456483
23,GradientBoostingRegressor,0.5801889942924688,0.7375255832286656,0.5008535268694826,0.11751867340239992
24,GradientBoostingRegressor,0.5583290043863322,0.7297032887917608,0.42915928630210715,0.11912497863510914
25,GradientBoostingRegressor,0.5394602505315832,0.7206299918677747,0.5928685890944905,0.10661782161393951
26,GradientBoostingRegressor,0.5479339814405139,0.7256404875680141,0.5588501194212667,0.11088938948368668
27,GradientBoostingRegressor,0.5401928271400714,0.7284601665823611,0.5660119648788675,0.11066454322960348
28,GradientBoostingRegressor,0.5261720314040476,0.718773082907339,0.6320255850367378,0.10743708019127156
29,GradientBoostingRegressor,0.5546297117600566,0.7223001655314711,0.5927356119135798,0.10511548890319254
30,GradientBoostingRegressor,0.5513183370327813,0.7348884161218568,0.5470693228285965,0.09818509081629992
31,GradientBoostingRegressor,0.5355819369001993,0.7267499903242031,0.5806757876196353,0.11215817813033999
32,GradientBoostingRegressor,0.5775912053545753,0.7450708447740098,0.4308423046828105,0.12182472860299458
33,GradientBoostingRegressor,0.5422953545743069,0.7299715969661104,0.5700719615942582,0.10857554924649473
34,GradientBoostingRegressor,0.5430553045303371,0.7189902158621979,0.5794870491546886,0.10667329854890224
35,GradientBoostingRegressor,0.5532001963770042,0.7241019774847052,0.5734144981499665,0.11908381204358853
36,GradientBoostingRegressor,0.5414535721562654,0.7323507777429292,0.5568485879876419,0.097418716514737
37,GradientBoostingRegressor,0.535367049004244,0.7206591311422142,0.6285118697852072,0.10017273424621743
38,GradientBoostingRegressor,0.554624325877588,0.7268313785802808,0.5976486560151295,0.09855812013091611
39,GradientBoostingRegressor,0.5121733645215829,0.7235372735616578,0.6036905673799295,0.1061472761296469
40,GradientBoostingRegressor,0.5721849115564768,0.7367301137395854,0.524873472526934,0.11632045665455179
41,GradientBoostingRegressor,0.5445720166025185,0.7366808930742833,0.5106487290639989,0.12225939488417217
42,GradientBoostingRegressor,0.5468852859507969,0.7301180409621743,0.5461525057754848,0.10411992031947345
43,GradientBoostingRegressor,0.5282074328452067,0.7205658684307176,0.6170698993046384,0.10201302732058729
44,GradientBoostingRegressor,0.5488667879598517,0.7297536728635636,0.52822033901914,0.11479627045667258
45,GradientBoostingRegressor,0.5558800390838826,0.7291365206428664,0.578455028362167,0.10716897878506297
46,GradientBoostingRegressor,0.5507189908535496,0.7192597445343152,0.6084609631308231,0.10545489873923296
47,GradientBoostingRegressor,0.547070961710568,0.7272600337582871,0.5496040417006662,0.10892507753559391
48,GradientBoostingRegressor,0.570404453718396,0.7358960421530215,0.5081388696460534,0.11304941401534774
49,GradientBoostingRegressor,0.5704018009506975,0.7309902311862687,0.5743598178185136,0.11121262442051155
50,GradientBoostingRegressor,0.549596532489015,0.7244481103069403,0.5594881864705108,0.11084996015468243
51,GradientBoostingRegressor,0.5611796131847173,0.7438840160923759,0.46645500711368615,0.11620838729589805
52,GradientBoostingRegressor,0.5734826796545784,0.745783393121584,0.4784973177632746,0.11854147957262282
53,GradientBoostingRegressor,0.5530607767162742,0.7248174182274381,0.5771144153297145,0.11608569924265337
54,GradientBoostingRegressor,0.5721726416903533,0.734156153864017,0.4785903020916472,0.10719335433362095
55,GradientBoostingRegressor,0.5521439095200407,0.7218572200379972,0.5473796501764809,0.10944959356966862
