seed,model,val,train,test,RMSE
0,RandomForestRegressor,0.5763619580943254,0.9425267510972369,0.5237331755986997,0.11392557353430836
1,RandomForestRegressor,0.5613609510335025,0.9377341553314086,0.5940653979971885,0.10872811715684635
2,RandomForestRegressor,0.5806819636574458,0.9415076705683263,0.47176093076725856,0.11191673592619017
3,RandomForestRegressor,0.5397722003146788,0.9414382083917303,0.5817741482715257,0.10509732001497418
4,RandomForestRegressor,0.5813204285399051,0.9461888216478789,0.48207492789050677,0.11099555864952629
5,RandomForestRegressor,0.5610622687820278,0.9412278160125401,0.5768320256733862,0.10616014582180162
6,RandomForestRegressor,0.561896518003165,0.9422588984384535,0.5715765415326082,0.11050862493186457
7,RandomForestRegressor,0.5748498648402115,0.9448528272534253,0.5138972529441643,0.11039380384035404
8,RandomForestRegressor,0.5749120372577832,0.9395266135577522,0.6330450201891785,0.10819412571925358
9,RandomForestRegressor,0.5340112518421094,0.9359220641712012,0.643730872538696,0.10441916834194463
10,RandomForestRegressor,0.5838951133141143,0.9444113243683937,0.5373778301826428,0.1144390443825298
11,RandomForestRegressor,0.5660507299746007,0.9420387359146534,0.5999053270836178,0.10195524400920059
12,RandomForestRegressor,0.575943354271513,0.9423427295860539,0.539363664663679,0.10909129004519039
13,RandomForestRegressor,0.5664209092831058,0.9439863744116451,0.5578093688986054,0.11443963848024322
14,RandomForestRegressor,0.5692765592592768,0.9445443679834565,0.5349109190433987,0.10870555993614643
15,RandomForestRegressor,0.5584206565012905,0.9410623268371,0.563617488534794,0.1078218131352876
16,RandomForestRegressor,0.532340720617378,0.9406833361557415,0.6231683124387346,0.09935670124649837
17,RandomForestRegressor,0.5528165116490605,0.9424778461667458,0.5442055453358858,0.10345059309382106
18,RandomForestRegressor,0.5577352107969371,0.938248021015857,0.5540306279001305,0.10839651543638948
19,RandomForestRegressor,0.5336486588856648,0.9412820811084959,0.6301424609695724,0.10370363773248431
20,RandomForestRegressor,0.5816242713166666,0.943456947393425,0.5227216627393578,0.10707245344657508
21,RandomForestRegressor,0.5345484949442261,0.9408331195436284,0.6470744743263775,0.1045827051660917
22,RandomForestRegressor,0.5540491404282599,0.9397046463930077,0.5921476394124565,0.1066456585804566
23,RandomForestRegressor,0.6030664075333089,0.9453828012810913,0.5228930029427439,0.11489490484770487
24,RandomForestRegressor,0.5772491115866629,0.9432447651282008,0.4739493313851015,0.11435605213889337
25,RandomForestRegressor,0.5491809320742593,0.9400095299527363,0.6246865736773719,0.10236689967188096
26,RandomForestRegressor,0.5674130365584584,0.9423243496794773,0.5861525284570556,0.10740316079069284
27,RandomForestRegressor,0.5350953465061628,0.9411732804264342,0.5784667897736602,0.10906502809816457
28,RandomForestRegressor,0.5566738563102436,0.9392412861334571,0.6470157531468373,0.10522599650034002
29,RandomForestRegressor,0.5628602248721164,0.9425880041938659,0.5856641313655491,0.10602414090609066
30,RandomForestRegressor,0.5640238213518897,0.9418934429362805,0.5662031749303655,0.09608882050087528
31,RandomForestRegressor,0.5439431367621612,0.9403151607996286,0.5972319095146115,0.10992171715963127
32,RandomForestRegressor,0.5818507955239377,0.9465087374860531,0.4538830395228039,0.11933339014798118
33,RandomForestRegressor,0.5649068204132089,0.9427041074486863,0.59978764120819,0.10475611850316757
34,RandomForestRegressor,0.5637094129243768,0.9412839202577239,0.5857116912484375,0.10588083937993423
35,RandomForestRegressor,0.5318764659837241,0.9396327917478539,0.5955111869474305,0.11595859386890434
36,RandomForestRegressor,0.5776681966662036,0.9448688633280059,0.5361518653363804,0.09966765540464692
37,RandomForestRegressor,0.5510512213341782,0.941657805717834,0.652895428457958,0.0968293962742663
38,RandomForestRegressor,0.5778254523033777,0.9405360222304991,0.5631696930161476,0.10269423498760683
39,RandomForestRegressor,0.5682839169256667,0.9406291497525556,0.5636852592030712,0.11137599384542854
40,RandomForestRegressor,0.5829366468865944,0.9455998729852084,0.5160838840662261,0.11739145944775815
41,RandomForestRegressor,0.5770875304408015,0.9436256888235162,0.5195762854166797,0.12113903230163829
42,RandomForestRegressor,0.5661275465043383,0.9389521352847925,0.591593155979356,0.0987700700446108
43,RandomForestRegressor,0.5503552131952454,0.9389350716622578,0.6486056991049802,0.09772220090697342
44,RandomForestRegressor,0.5547552758002737,0.9398957329121839,0.5439482021754111,0.1128665520043347
45,RandomForestRegressor,0.5527675627096611,0.9399960016137644,0.574958806871066,0.107612481638571
46,RandomForestRegressor,0.5503664573061171,0.9398838452553304,0.5677707809578986,0.11079911359586116
47,RandomForestRegressor,0.5673299800823208,0.9423970318970282,0.5939601953309888,0.10342247830225455
48,RandomForestRegressor,0.562737362007885,0.9444112858230419,0.5365551946914606,0.10973522869528783
