seed,model,val,train,test,RMSE
0,ExtraTreesRegressor,0.5976794684421167,0.9404988869237398,0.5392260889092728,0.11205726001007899
1,ExtraTreesRegressor,0.5848767989498833,0.935321838253853,0.6134383285628457,0.10610191599579372
2,ExtraTreesRegressor,0.6002568445507246,0.9425677036560572,0.5499133882073309,0.10330654167666697
3,ExtraTreesRegressor,0.5754512859663262,0.9356607173385849,0.5949899142743099,0.1034234744786903
4,ExtraTreesRegressor,0.608944961494662,0.9428097645773812,0.5246794324825889,0.10633235616043306
5,ExtraTreesRegressor,0.5937647152892428,0.9375993965328265,0.5852486063144354,0.10509910971254449
6,ExtraTreesRegressor,0.5796316822034695,0.937735439934186,0.6280725448526079,0.10296477454202466
7,ExtraTreesRegressor,0.6029014228781049,0.9416918784224557,0.5309285948736573,0.10844265449994758
8,ExtraTreesRegressor,0.5944858724216411,0.9376737637769444,0.6446485823677555,0.10646976982660142
9,ExtraTreesRegressor,0.5652458719215883,0.9359343460963809,0.645246197006073,0.10419686795646937
10,ExtraTreesRegressor,0.6063854152354045,0.9403685338876678,0.5476793763155562,0.11315772225026069
11,ExtraTreesRegressor,0.5938310958446048,0.9410008944094038,0.607611602287945,0.10096858329273403
12,ExtraTreesRegressor,0.5959641282057658,0.9382716289499184,0.57391789595966,0.10491984204594103
13,ExtraTreesRegressor,0.5808045474797776,0.9369937841444991,0.5738825465597086,0.11234050460237249
14,ExtraTreesRegressor,0.588985957364787,0.9401216633745495,0.5837755817583627,0.10283654165769134
15,ExtraTreesRegressor,0.5938617458152852,0.9390976892565585,0.6031282926132786,0.102824837476269
16,ExtraTreesRegressor,0.5772925189837576,0.9380327953459838,0.6296950887901591,0.09849250708630344
17,ExtraTreesRegressor,0.5781234924148785,0.9376452295167051,0.5650520326290946,0.10105716697570723
18,ExtraTreesRegressor,0.5923165654298994,0.9389001510012921,0.6008905180654507,0.10254366311466184
19,ExtraTreesRegressor,0.5694032946265976,0.9392358827080409,0.661815655430813,0.09916387806352805
20,ExtraTreesRegressor,0.6104340256665939,0.9396385017345179,0.5559931321133363,0.10327298655111294
21,ExtraTreesRegressor,0.5583616387567447,0.9360645925404945,0.6790328737385045,0.0997352344749669
22,ExtraTreesRegressor,0.5718238807447601,0.9322824863201707,0.6210304337333844,0.10280017588872166
23,ExtraTreesRegressor,0.6144335165932693,0.940374628214955,0.5365680419422851,0.11323635115404226
24,ExtraTreesRegressor,0.5969045367752518,0.9400105666333687,0.5436385863566559,0.10651231497867952
25,ExtraTreesRegressor,0.5768122575993713,0.9369193677021669,0.6506734753523591,0.09875936329956593
26,ExtraTreesRegressor,0.5956964605629909,0.9402432078121831,0.6017005334303849,0.10536631018772287
